image,base,variant,format,width,height,bytes
scully_facts_example.png,scully_facts_example,800,png,565,947,318170
scully_facts_example.png,scully_facts_example,1200,png,565,947,318170
scully_facts_example.png,scully_facts_example,800,webp,565,947,48024
scully_facts_example.png,scully_facts_example,800,avif,565,947,37685
scully_facts_example.png,scully_facts_example,1200,webp,565,947,48024
scully_facts_example.png,scully_facts_example,1200,avif,565,947,37685
scully_facts_example.png,scully_facts_example,orig,png,565,947,399394
sharing_pr_comments_with_claude.png,sharing_pr_comments_with_claude,800,png,800,197,55363
sharing_pr_comments_with_claude.png,sharing_pr_comments_with_claude,1200,png,862,212,52282
sharing_pr_comments_with_claude.png,sharing_pr_comments_with_claude,800,webp,800,197,12200
sharing_pr_comments_with_claude.png,sharing_pr_comments_with_claude,800,avif,800,197,11049
sharing_pr_comments_with_claude.png,sharing_pr_comments_with_claude,1200,webp,862,212,15194
sharing_pr_comments_with_claude.png,sharing_pr_comments_with_claude,1200,avif,862,212,11370
sharing_pr_comments_with_claude.png,sharing_pr_comments_with_claude,orig,png,862,212,68228
trying_app_first_time.png,trying_app_first_time,800,png,800,1033,252866
trying_app_first_time.png,trying_app_first_time,1200,png,812,1049,247603
trying_app_first_time.png,trying_app_first_time,800,webp,800,1033,26854
trying_app_first_time.png,trying_app_first_time,800,avif,800,1033,24396
trying_app_first_time.png,trying_app_first_time,1200,webp,812,1049,31476
trying_app_first_time.png,trying_app_first_time,1200,avif,812,1049,23179
trying_app_first_time.png,trying_app_first_time,orig,png,812,1049,315031
user_context_finish_load.png,user_context_finish_load,800,png,800,297,122826
user_context_finish_load.png,user_context_finish_load,1200,png,845,314,120350
user_context_finish_load.png,user_context_finish_load,800,webp,800,297,26738
user_context_finish_load.png,user_context_finish_load,800,avif,800,297,24419
user_context_finish_load.png,user_context_finish_load,1200,webp,845,314,32600
user_context_finish_load.png,user_context_finish_load,1200,avif,845,314,23921
user_context_finish_load.png,user_context_finish_load,orig,png,845,314,152499
user_context_load.png,user_context_load,800,png,645,267,48627
user_context_load.png,user_context_load,1200,png,645,267,48627
user_context_load.png,user_context_load,800,webp,645,267,12044
user_context_load.png,user_context_load,800,avif,645,267,9225
user_context_load.png,user_context_load,1200,webp,645,267,12044
user_context_load.png,user_context_load,1200,avif,645,267,9225
user_context_load.png,user_context_load,orig,png,645,267,63974
